id,prompt,color,estilo,elemento,posicion
1069,"Diseño de camiseta: gráfico de automóvil, color gris, estilo vintage, posición centrado",gris,vintage,automóvil,centrado
1070,"Camiseta con imagen de automóvil, color gris, estilo vintage, posición pecho",gris,vintage,automóvil,pecho
1071,"Generar camiseta de estilo vintage, color gris, imagen de automóvil en zona esquina",gris,vintage,automóvil,esquina
1072,"Camiseta color gris, estilo vintage, con estampado de automóvil en zona espalda",gris,vintage,automóvil,espalda
1073,"Quiero estampado de dragón en zona centrado, color gris, estilo vintage",gris,vintage,dragón,centrado
1074,"Quiero estampado de dragón en zona pecho, color gris, estilo vintage",gris,vintage,dragón,pecho
1075,"Generar camiseta de estilo vintage, color gris, imagen de dragón en zona esquina",gris,vintage,dragón,esquina
1076,"Diseño para camiseta: dragón en posición espalda, color gris, estilo visual vintage",gris,vintage,dragón,espalda
1077,"Crear camiseta de estilo vintage con motivo de texto en color gris, zona centrado",gris,vintage,texto,centrado
1078,"Quiero estampado de texto en zona pecho, color gris, estilo vintage",gris,vintage,texto,pecho
1079,"Generar camiseta de estilo vintage, color gris, imagen de texto en zona esquina",gris,vintage,texto,esquina
1080,"Generar camiseta de estilo vintage, color gris, imagen de texto en zona espalda",gris,vintage,texto,espalda
1081,"Crear camiseta de estilo urbano con motivo de montaña en color gris, zona centrado",gris,urbano,montaña,centrado
1082,"Camiseta color gris, estilo urbano, con estampado de montaña en zona pecho",gris,urbano,montaña,pecho
1083,"Necesito una camiseta con gráfico de montaña en zona esquina, color gris, estilo urbano",gris,urbano,montaña,esquina
1084,"Necesito una camiseta con gráfico de montaña en zona espalda, color gris, estilo urbano",gris,urbano,montaña,espalda
1085,"Necesito una camiseta con gráfico de guitarra en zona centrado, color gris, estilo urbano",gris,urbano,guitarra,centrado
1086,"Camiseta con estampado de guitarra, color principal gris, estilo visual urbano, zona pecho",gris,urbano,guitarra,pecho
1087,"Quiero una camiseta con diseño de guitarra en estilo urbano, color gris, posición esquina",gris,urbano,guitarra,esquina
1088,"Crear camiseta de estilo urbano con motivo de guitarra en color gris, zona espalda",gris,urbano,guitarra,espalda
1089,"Camiseta con estampado de calavera, color principal gris, estilo visual urbano, zona centrado",gris,urbano,calavera,centrado
1090,"Generar camiseta de estilo urbano, color gris, imagen de calavera en zona pecho",gris,urbano,calavera,pecho
1091,"Quiero una camiseta con diseño de calavera en estilo urbano, color gris, posición esquina",gris,urbano,calavera,esquina
1092,"Crear camiseta de estilo urbano con motivo de calavera en color gris, zona espalda",gris,urbano,calavera,espalda
1093,"Quiero estampado de lobo en zona centrado, color gris, estilo urbano",gris,urbano,lobo,centrado
1094,Camiseta de color gris con motivo urbano de lobo en la zona pecho,gris,urbano,lobo,pecho
1095,"Crear camiseta de estilo urbano con motivo de lobo en color gris, zona esquina",gris,urbano,lobo,esquina
1096,"Diseñar camiseta: elemento gráfico lobo, color gris, estilo urbano, ubicación espalda",gris,urbano,lobo,espalda
1097,"Camiseta con estampado de águila, color principal gris, estilo visual urbano, zona centrado",gris,urbano,águila,centrado
1098,"Camiseta con estampado de águila, color principal gris, estilo visual urbano, zona pecho",gris,urbano,águila,pecho
1099,"Crear camiseta de estilo urbano con motivo de águila en color gris, zona esquina",gris,urbano,águila,esquina
1100,"Camiseta color gris, estilo urbano, con estampado de águila en zona espalda",gris,urbano,águila,espalda
1101,"Necesito una camiseta con gráfico de sol en zona centrado, color gris, estilo urbano",gris,urbano,sol,centrado
1102,"Crear camiseta de estilo urbano con motivo de sol en color gris, zona pecho",gris,urbano,sol,pecho
1103,"Camiseta con imagen de sol, color gris, estilo urbano, posición esquina",gris,urbano,sol,esquina
1104,Camiseta de color gris con motivo urbano de sol en la zona espalda,gris,urbano,sol,espalda
1105,"Quiero estampado de árbol en zona centrado, color gris, estilo urbano",gris,urbano,árbol,centrado
1106,"Camiseta con imagen de árbol, color gris, estilo urbano, posición pecho",gris,urbano,árbol,pecho
1107,"Necesito una camiseta con gráfico de árbol en zona esquina, color gris, estilo urbano",gris,urbano,árbol,esquina
1108,"Quiero una camiseta con diseño de árbol en estilo urbano, color gris, posición espalda",gris,urbano,árbol,espalda
1109,"Quiero diseño de automóvil en camiseta color gris, estilo urbano, ubicado en centrado",gris,urbano,automóvil,centrado
1110,"Camiseta con estampado de automóvil, color principal gris, estilo visual urbano, zona pecho",gris,urbano,automóvil,pecho
1111,"Necesito una camiseta con gráfico de automóvil en zona esquina, color gris, estilo urbano",gris,urbano,automóvil,esquina
1112,"Camiseta con estampado de automóvil, color principal gris, estilo visual urbano, zona espalda",gris,urbano,automóvil,espalda
1113,"Generar camiseta de estilo urbano, color gris, imagen de dragón en zona centrado",gris,urbano,dragón,centrado
1114,"Diseñar camiseta: elemento gráfico dragón, color gris, estilo urbano, ubicación pecho",gris,urbano,dragón,pecho
1115,"Necesito una camiseta con gráfico de dragón en zona esquina, color gris, estilo urbano",gris,urbano,dragón,esquina
1116,"Camiseta de color gris, diseño de dragón, estilo urbano, zona espalda",gris,urbano,dragón,espalda
1117,"Crear camiseta de estilo urbano con motivo de texto en color gris, zona centrado",gris,urbano,texto,centrado
1118,"Quiero estampado de texto en zona pecho, color gris, estilo urbano",gris,urbano,texto,pecho
1119,"Diseñar camiseta: elemento gráfico texto, color gris, estilo urbano, ubicación esquina",gris,urbano,texto,esquina
1120,"Necesito una camiseta con gráfico de texto en zona espalda, color gris, estilo urbano",gris,urbano,texto,espalda
1121,"Camiseta de color gris, diseño de montaña, estilo deportivo, zona centrado",gris,deportivo,montaña,centrado
1122,"Camiseta de color gris, diseño de montaña, estilo deportivo, zona pecho",gris,deportivo,montaña,pecho
1123,"Quiero estampado de montaña en zona esquina, color gris, estilo deportivo",gris,deportivo,montaña,esquina
1124,"Necesito una camiseta con gráfico de montaña en zona espalda, color gris, estilo deportivo",gris,deportivo,montaña,espalda
1125,"Crear camiseta de estilo deportivo con motivo de guitarra en color gris, zona centrado",gris,deportivo,guitarra,centrado
1126,"Diseñar camiseta: elemento gráfico guitarra, color gris, estilo deportivo, ubicación pecho",gris,deportivo,guitarra,pecho
1127,"Diseño de camiseta: gráfico de guitarra, color gris, estilo deportivo, posición esquina",gris,deportivo,guitarra,esquina
1128,"Quiero diseño de guitarra en camiseta color gris, estilo deportivo, ubicado en espalda",gris,deportivo,guitarra,espalda
1129,Camiseta de color gris con motivo deportivo de calavera en la zona centrado,gris,deportivo,calavera,centrado
1130,"Camiseta color gris, estilo deportivo, con estampado de calavera en zona pecho",gris,deportivo,calavera,pecho
1131,"Quiero una camiseta con diseño de calavera en estilo deportivo, color gris, posición esquina",gris,deportivo,calavera,esquina
1132,"Quiero diseño de calavera en camiseta color gris, estilo deportivo, ubicado en espalda",gris,deportivo,calavera,espalda
1133,"Camiseta de color gris, diseño de lobo, estilo deportivo, zona centrado",gris,deportivo,lobo,centrado
1134,"Camiseta con imagen de lobo, color gris, estilo deportivo, posición pecho",gris,deportivo,lobo,pecho
1135,"Necesito una camiseta con gráfico de lobo en zona esquina, color gris, estilo deportivo",gris,deportivo,lobo,esquina
1136,"Camiseta color gris, estilo deportivo, con estampado de lobo en zona espalda",gris,deportivo,lobo,espalda
1137,"Camiseta color gris, estilo deportivo, con estampado de águila en zona centrado",gris,deportivo,águila,centrado
1138,"Camiseta color gris, estilo deportivo, con estampado de águila en zona pecho",gris,deportivo,águila,pecho
1139,"Generar camiseta de estilo deportivo, color gris, imagen de águila en zona esquina",gris,deportivo,águila,esquina
1140,"Diseñar camiseta: elemento gráfico águila, color gris, estilo deportivo, ubicación espalda",gris,deportivo,águila,espalda
1141,"Camiseta de color gris, diseño de sol, estilo deportivo, zona centrado",gris,deportivo,sol,centrado
1142,"Necesito una camiseta con gráfico de sol en zona pecho, color gris, estilo deportivo",gris,deportivo,sol,pecho
1143,"Quiero diseño de sol en camiseta color gris, estilo deportivo, ubicado en esquina",gris,deportivo,sol,esquina
1144,"Camiseta color gris, estilo deportivo, con estampado de sol en zona espalda",gris,deportivo,sol,espalda
1145,"Quiero una camiseta con diseño de árbol en estilo deportivo, color gris, posición centrado",gris,deportivo,árbol,centrado
1146,"Quiero diseño de árbol en camiseta color gris, estilo deportivo, ubicado en pecho",gris,deportivo,árbol,pecho
1147,"Quiero una camiseta con diseño de árbol en estilo deportivo, color gris, posición esquina",gris,deportivo,árbol,esquina
1148,"Diseño para camiseta: árbol en posición espalda, color gris, estilo visual deportivo",gris,deportivo,árbol,espalda
1149,"Camiseta color gris, estilo deportivo, con estampado de automóvil en zona centrado",gris,deportivo,automóvil,centrado
1150,"Quiero una camiseta con diseño de automóvil en estilo deportivo, color gris, posición pecho",gris,deportivo,automóvil,pecho
1151,"Camiseta con imagen de automóvil, color gris, estilo deportivo, posición esquina",gris,deportivo,automóvil,esquina
1152,"Diseño de camiseta: gráfico de automóvil, color gris, estilo deportivo, posición espalda",gris,deportivo,automóvil,espalda
1153,"Diseño de camiseta: gráfico de dragón, color gris, estilo deportivo, posición centrado",gris,deportivo,dragón,centrado
1154,"Camiseta de color gris, diseño de dragón, estilo deportivo, zona pecho",gris,deportivo,dragón,pecho
1155,"Diseñar camiseta: elemento gráfico dragón, color gris, estilo deportivo, ubicación esquina",gris,deportivo,dragón,esquina
1156,"Diseñar camiseta: elemento gráfico dragón, color gris, estilo deportivo, ubicación espalda",gris,deportivo,dragón,espalda
1157,Camiseta de color gris con motivo deportivo de texto en la zona centrado,gris,deportivo,texto,centrado
1158,"Camiseta con imagen de texto, color gris, estilo deportivo, posición pecho",gris,deportivo,texto,pecho
1159,"Necesito una camiseta con gráfico de texto en zona esquina, color gris, estilo deportivo",gris,deportivo,texto,esquina
1160,"Quiero una camiseta con diseño de texto en estilo deportivo, color gris, posición espalda",gris,deportivo,texto,espalda
1161,"Camiseta con estampado de montaña, color principal gris, estilo visual retro, zona centrado",gris,retro,montaña,centrado
1162,"Quiero una camiseta con diseño de montaña en estilo retro, color gris, posición pecho",gris,retro,montaña,pecho
1163,"Quiero estampado de montaña en zona esquina, color gris, estilo retro",gris,retro,montaña,esquina
1164,Camiseta de color gris con motivo retro de montaña en la zona espalda,gris,retro,montaña,espalda
1165,"Diseño para camiseta: guitarra en posición centrado, color gris, estilo visual retro",gris,retro,guitarra,centrado
1166,"Camiseta con imagen de guitarra, color gris, estilo retro, posición pecho",gris,retro,guitarra,pecho
1167,"Camiseta con imagen de guitarra, color gris, estilo retro, posición esquina",gris,retro,guitarra,esquina
1168,Camiseta de color gris con motivo retro de guitarra en la zona espalda,gris,retro,guitarra,espalda
1169,"Camiseta con imagen de calavera, color gris, estilo retro, posición centrado",gris,retro,calavera,centrado
1170,"Camiseta con estampado de calavera, color principal gris, estilo visual retro, zona pecho",gris,retro,calavera,pecho
1171,Camiseta de color gris con motivo retro de calavera en la zona esquina,gris,retro,calavera,esquina
1172,"Quiero estampado de calavera en zona espalda, color gris, estilo retro",gris,retro,calavera,espalda
1173,"Diseño para camiseta: lobo en posición centrado, color gris, estilo visual retro",gris,retro,lobo,centrado
1174,"Camiseta color gris, estilo retro, con estampado de lobo en zona pecho",gris,retro,lobo,pecho
1175,"Camiseta color gris, estilo retro, con estampado de lobo en zona esquina",gris,retro,lobo,esquina
1176,"Necesito una camiseta con gráfico de lobo en zona espalda, color gris, estilo retro",gris,retro,lobo,espalda
1177,"Quiero diseño de águila en camiseta color gris, estilo retro, ubicado en centrado",gris,retro,águila,centrado
1178,"Camiseta con imagen de águila, color gris, estilo retro, posición pecho",gris,retro,águila,pecho
1179,"Diseño para camiseta: águila en posición esquina, color gris, estilo visual retro",gris,retro,águila,esquina
1180,"Necesito una camiseta con gráfico de águila en zona espalda, color gris, estilo retro",gris,retro,águila,espalda
1181,"Camiseta con imagen de sol, color gris, estilo retro, posición centrado",gris,retro,sol,centrado
1182,"Camiseta con imagen de sol, color gris, estilo retro, posición pecho",gris,retro,sol,pecho
1183,"Camiseta de color gris, diseño de sol, estilo retro, zona esquina",gris,retro,sol,esquina
1184,"Camiseta con imagen de sol, color gris, estilo retro, posición espalda",gris,retro,sol,espalda
1185,"Crear camiseta de estilo retro con motivo de árbol en color gris, zona centrado",gris,retro,árbol,centrado
1186,"Quiero una camiseta con diseño de árbol en estilo retro, color gris, posición pecho",gris,retro,árbol,pecho
1187,Camiseta de color gris con motivo retro de árbol en la zona esquina,gris,retro,árbol,esquina
1188,"Camiseta con estampado de árbol, color principal gris, estilo visual retro, zona espalda",gris,retro,árbol,espalda
1189,"Diseño de camiseta: gráfico de automóvil, color gris, estilo retro, posición centrado",gris,retro,automóvil,centrado
1190,"Camiseta con estampado de automóvil, color principal gris, estilo visual retro, zona pecho",gris,retro,automóvil,pecho
1191,"Necesito una camiseta con gráfico de automóvil en zona esquina, color gris, estilo retro",gris,retro,automóvil,esquina
1192,"Diseño de camiseta: gráfico de automóvil, color gris, estilo retro, posición espalda",gris,retro,automóvil,espalda
1193,"Quiero una camiseta con diseño de dragón en estilo retro, color gris, posición centrado",gris,retro,dragón,centrado
1194,"Diseñar camiseta: elemento gráfico dragón, color gris, estilo retro, ubicación pecho",gris,retro,dragón,pecho
1195,"Camiseta con estampado de dragón, color principal gris, estilo visual retro, zona esquina",gris,retro,dragón,esquina
1196,"Diseñar camiseta: elemento gráfico dragón, color gris, estilo retro, ubicación espalda",gris,retro,dragón,espalda
1197,"Quiero estampado de texto en zona centrado, color gris, estilo retro",gris,retro,texto,centrado
1198,"Quiero una camiseta con diseño de texto en estilo retro, color gris, posición pecho",gris,retro,texto,pecho
1199,"Diseñar camiseta: elemento gráfico texto, color gris, estilo retro, ubicación esquina",gris,retro,texto,esquina
1200,"Camiseta de color gris, diseño de texto, estilo retro, zona espalda",gris,retro,texto,espalda
1201,"Diseño para camiseta: guitarra en posición espalda, color azul, estilo visual retro",azul,retro,guitarra,espalda
1202,"Camiseta color negro, estilo minimalista, con estampado de automóvil en zona esquina",negro,minimalista,automóvil,esquina
1203,"Crear camiseta de estilo deportivo con motivo de calavera en color blanco, zona esquina",blanco,deportivo,calavera,esquina
1204,"Camiseta con imagen de árbol, color blanco, estilo vintage, posición espalda",blanco,vintage,árbol,espalda
1205,"Camiseta color verde, estilo urbano, con estampado de montaña en zona espalda",verde,urbano,montaña,espalda
1206,"Necesito una camiseta con gráfico de lobo en zona centrado, color verde, estilo minimalista",verde,minimalista,lobo,centrado
1207,"Camiseta de color gris, diseño de automóvil, estilo vintage, zona esquina",gris,vintage,automóvil,esquina
1208,"Camiseta con estampado de árbol, color principal negro, estilo visual urbano, zona centrado",negro,urbano,árbol,centrado
1209,"Necesito una camiseta con gráfico de árbol en zona esquina, color rojo, estilo urbano",rojo,urbano,árbol,esquina
1210,"Crear camiseta de estilo minimalista con motivo de dragón en color negro, zona espalda",negro,minimalista,dragón,espalda
1211,"Necesito una camiseta con gráfico de sol en zona esquina, color blanco, estilo vintage",blanco,vintage,sol,esquina
1212,"Crear camiseta de estilo minimalista con motivo de guitarra en color azul, zona esquina",azul,minimalista,guitarra,esquina
1213,"Quiero diseño de automóvil en camiseta color negro, estilo minimalista, ubicado en espalda",negro,minimalista,automóvil,espalda
1214,"Camiseta color blanco, estilo minimalista, con estampado de texto en zona esquina",blanco,minimalista,texto,esquina
1215,"Quiero una camiseta con diseño de águila en estilo retro, color azul, posición espalda",azul,retro,águila,espalda
1216,"Diseño de camiseta: gráfico de lobo, color azul, estilo vintage, posición pecho",azul,vintage,lobo,pecho
1217,"Camiseta con estampado de árbol, color principal blanco, estilo visual vintage, zona centrado",blanco,vintage,árbol,centrado
1218,"Necesito una camiseta con gráfico de árbol en zona espalda, color azul, estilo urbano",azul,urbano,árbol,espalda
1219,Camiseta de color verde con motivo retro de calavera en la zona espalda,verde,retro,calavera,espalda
1220,Camiseta de color negro con motivo minimalista de guitarra en la zona espalda,negro,minimalista,guitarra,espalda
1221,"Diseño de camiseta: gráfico de guitarra, color verde, estilo retro, posición esquina",verde,retro,guitarra,esquina
1222,"Camiseta con imagen de texto, color verde, estilo minimalista, posición pecho",verde,minimalista,texto,pecho
1223,"Diseño de camiseta: gráfico de calavera, color rojo, estilo minimalista, posición centrado",rojo,minimalista,calavera,centrado
1224,Camiseta de color negro con motivo retro de árbol en la zona esquina,negro,retro,árbol,esquina
1225,"Camiseta con estampado de automóvil, color principal gris, estilo visual deportivo, zona centrado",gris,deportivo,automóvil,centrado
1226,"Diseño para camiseta: montaña en posición espalda, color rojo, estilo visual minimalista",rojo,minimalista,montaña,espalda
1227,"Quiero una camiseta con diseño de automóvil en estilo urbano, color negro, posición espalda",negro,urbano,automóvil,espalda
1228,"Quiero estampado de texto en zona centrado, color negro, estilo urbano",negro,urbano,texto,centrado
1229,"Camiseta con estampado de águila, color principal gris, estilo visual minimalista, zona centrado",gris,minimalista,águila,centrado
1230,"Diseño de camiseta: gráfico de guitarra, color azul, estilo deportivo, posición centrado",azul,deportivo,guitarra,centrado
1231,"Diseñar camiseta: elemento gráfico calavera, color verde, estilo retro, ubicación centrado",verde,retro,calavera,centrado
1232,"Necesito una camiseta con gráfico de dragón en zona espalda, color verde, estilo vintage",verde,vintage,dragón,espalda
1233,"Quiero diseño de montaña en camiseta color azul, estilo vintage, ubicado en espalda",azul,vintage,montaña,espalda
1234,"Diseñar camiseta: elemento gráfico guitarra, color gris, estilo retro, ubicación espalda",gris,retro,guitarra,espalda
1235,"Quiero una camiseta con diseño de lobo en estilo vintage, color rojo, posición esquina",rojo,vintage,lobo,esquina
1236,"Camiseta de color azul, diseño de sol, estilo vintage, zona esquina",azul,vintage,sol,esquina
1237,"Diseñar camiseta: elemento gráfico dragón, color verde, estilo retro, ubicación espalda",verde,retro,dragón,espalda
1238,Camiseta de color azul con motivo deportivo de sol en la zona esquina,azul,deportivo,sol,esquina
1239,"Necesito una camiseta con gráfico de dragón en zona esquina, color gris, estilo minimalista",gris,minimalista,dragón,esquina
1240,"Camiseta con imagen de lobo, color azul, estilo urbano, posición centrado",azul,urbano,lobo,centrado
1241,"Crear camiseta de estilo vintage con motivo de guitarra en color verde, zona pecho",verde,vintage,guitarra,pecho
1242,"Quiero diseño de lobo en camiseta color negro, estilo vintage, ubicado en esquina",negro,vintage,lobo,esquina
1243,"Camiseta con imagen de dragón, color blanco, estilo vintage, posición pecho",blanco,vintage,dragón,pecho
1244,"Necesito una camiseta con gráfico de árbol en zona espalda, color blanco, estilo deportivo",blanco,deportivo,árbol,espalda
1245,"Camiseta color negro, estilo urbano, con estampado de lobo en zona espalda",negro,urbano,lobo,espalda
1246,"Quiero una camiseta con diseño de texto en estilo vintage, color blanco, posición espalda",blanco,vintage,texto,espalda
1247,"Camiseta color negro, estilo deportivo, con estampado de montaña en zona pecho",negro,deportivo,montaña,pecho
1248,"Crear camiseta de estilo deportivo con motivo de lobo en color blanco, zona pecho",blanco,deportivo,lobo,pecho
1249,"Necesito una camiseta con gráfico de montaña en zona esquina, color azul, estilo retro",azul,retro,montaña,esquina
1250,"Crear camiseta de estilo minimalista con motivo de texto en color rojo, zona pecho",rojo,minimalista,texto,pecho
1251,"Diseño para camiseta: guitarra en posición centrado, color rojo, estilo visual vintage",rojo,vintage,guitarra,centrado
1252,"Necesito una camiseta con gráfico de calavera en zona espalda, color blanco, estilo vintage",blanco,vintage,calavera,espalda
1253,"Quiero estampado de montaña en zona centrado, color blanco, estilo deportivo",blanco,deportivo,montaña,centrado
1254,"Quiero estampado de montaña en zona espalda, color gris, estilo deportivo",gris,deportivo,montaña,espalda
1255,"Camiseta color azul, estilo retro, con estampado de águila en zona pecho",azul,retro,águila,pecho
1256,"Camiseta color azul, estilo deportivo, con estampado de calavera en zona esquina",azul,deportivo,calavera,esquina
1257,"Quiero una camiseta con diseño de guitarra en estilo minimalista, color blanco, posición pecho",blanco,minimalista,guitarra,pecho
1258,"Camiseta con imagen de dragón, color verde, estilo vintage, posición esquina",verde,vintage,dragón,esquina
1259,"Camiseta de color negro, diseño de texto, estilo retro, zona centrado",negro,retro,texto,centrado
1260,"Diseño para camiseta: lobo en posición espalda, color rojo, estilo visual vintage",rojo,vintage,lobo,espalda
1261,"Crear camiseta de estilo retro con motivo de árbol en color gris, zona espalda",gris,retro,árbol,espalda
1262,"Generar camiseta de estilo retro, color azul, imagen de guitarra en zona espalda",azul,retro,guitarra,espalda
1263,"Camiseta con imagen de automóvil, color azul, estilo vintage, posición centrado",azul,vintage,automóvil,centrado
1264,"Necesito una camiseta con gráfico de sol en zona pecho, color verde, estilo minimalista",verde,minimalista,sol,pecho
1265,"Camiseta de color gris, diseño de calavera, estilo minimalista, zona espalda",gris,minimalista,calavera,espalda
1266,"Quiero una camiseta con diseño de calavera en estilo deportivo, color verde, posición espalda",verde,deportivo,calavera,espalda
1267,"Camiseta con estampado de dragón, color principal blanco, estilo visual vintage, zona esquina",blanco,vintage,dragón,esquina
1268,"Diseño de camiseta: gráfico de texto, color negro, estilo minimalista, posición esquina",negro,minimalista,texto,esquina
1269,"Quiero diseño de águila en camiseta color blanco, estilo retro, ubicado en esquina",blanco,retro,águila,esquina
1270,"Quiero diseño de montaña en camiseta color blanco, estilo deportivo, ubicado en pecho",blanco,deportivo,montaña,pecho
1271,"Camiseta con imagen de lobo, color blanco, estilo vintage, posición pecho",blanco,vintage,lobo,pecho
1272,"Camiseta con imagen de calavera, color gris, estilo deportivo, posición espalda",gris,deportivo,calavera,espalda
1273,"Camiseta de color gris, diseño de calavera, estilo vintage, zona espalda",gris,vintage,calavera,espalda
1274,Camiseta de color blanco con motivo retro de águila en la zona pecho,blanco,retro,águila,pecho
1275,"Diseño de camiseta: gráfico de árbol, color azul, estilo retro, posición esquina",azul,retro,árbol,esquina
1276,"Quiero diseño de dragón en camiseta color rojo, estilo vintage, ubicado en esquina",rojo,vintage,dragón,esquina
1277,"Necesito una camiseta con gráfico de águila en zona pecho, color gris, estilo urbano",gris,urbano,águila,pecho
1278,"Camiseta con imagen de automóvil, color rojo, estilo deportivo, posición esquina",rojo,deportivo,automóvil,esquina
1279,"Camiseta de color blanco, diseño de texto, estilo urbano, zona pecho",blanco,urbano,texto,pecho
1280,Camiseta de color blanco con motivo urbano de lobo en la zona espalda,blanco,urbano,lobo,espalda
1281,Camiseta de color azul con motivo vintage de dragón en la zona pecho,azul,vintage,dragón,pecho
1282,"Diseñar camiseta: elemento gráfico dragón, color blanco, estilo urbano, ubicación espalda",blanco,urbano,dragón,espalda
1283,"Camiseta color azul, estilo urbano, con estampado de sol en zona pecho",azul,urbano,sol,pecho
1284,"Quiero estampado de texto en zona pecho, color gris, estilo vintage",gris,vintage,texto,pecho
1285,"Diseño de camiseta: gráfico de texto, color rojo, estilo vintage, posición espalda",rojo,vintage,texto,espalda
1286,"Camiseta color blanco, estilo vintage, con estampado de sol en zona espalda",blanco,vintage,sol,espalda
1287,"Necesito una camiseta con gráfico de texto en zona pecho, color gris, estilo retro",gris,retro,texto,pecho
1288,"Diseñar camiseta: elemento gráfico calavera, color azul, estilo minimalista, ubicación espalda",azul,minimalista,calavera,espalda
1289,"Camiseta con imagen de automóvil, color negro, estilo urbano, posición pecho",negro,urbano,automóvil,pecho
1290,"Diseño para camiseta: águila en posición centrado, color negro, estilo visual vintage",negro,vintage,águila,centrado
1291,"Diseño de camiseta: gráfico de calavera, color negro, estilo deportivo, posición espalda",negro,deportivo,calavera,espalda
1292,"Quiero diseño de dragón en camiseta color azul, estilo deportivo, ubicado en centrado",azul,deportivo,dragón,centrado
1293,"Camiseta color verde, estilo deportivo, con estampado de automóvil en zona esquina",verde,deportivo,automóvil,esquina
1294,"Quiero una camiseta con diseño de árbol en estilo urbano, color rojo, posición esquina",rojo,urbano,árbol,esquina
1295,"Camiseta color negro, estilo vintage, con estampado de texto en zona centrado",negro,vintage,texto,centrado
1296,"Generar camiseta de estilo vintage, color rojo, imagen de águila en zona pecho",rojo,vintage,águila,pecho
1297,"Diseño para camiseta: dragón en posición espalda, color gris, estilo visual retro",gris,retro,dragón,espalda
1298,"Generar camiseta de estilo minimalista, color azul, imagen de dragón en zona esquina",azul,minimalista,dragón,esquina
1299,"Generar camiseta de estilo retro, color gris, imagen de guitarra en zona pecho",gris,retro,guitarra,pecho
1300,"Diseño de camiseta: gráfico de dragón, color gris, estilo minimalista, posición centrado",gris,minimalista,dragón,centrado
1301,"Quiero una camiseta con diseño de lobo en estilo minimalista, color negro, posición pecho",negro,minimalista,lobo,pecho
1302,"Quiero diseño de árbol en camiseta color verde, estilo vintage, ubicado en centrado",verde,vintage,árbol,centrado
1303,"Diseñar camiseta: elemento gráfico águila, color verde, estilo minimalista, ubicación esquina",verde,minimalista,águila,esquina
1304,"Generar camiseta de estilo vintage, color azul, imagen de guitarra en zona centrado",azul,vintage,guitarra,centrado
1305,"Diseño para camiseta: montaña en posición centrado, color blanco, estilo visual deportivo",blanco,deportivo,montaña,centrado
1306,"Crear camiseta de estilo retro con motivo de calavera en color azul, zona pecho",azul,retro,calavera,pecho
1307,"Camiseta color negro, estilo deportivo, con estampado de lobo en zona pecho",negro,deportivo,lobo,pecho
1308,"Necesito una camiseta con gráfico de montaña en zona pecho, color rojo, estilo deportivo",rojo,deportivo,montaña,pecho
1309,"Diseño de camiseta: gráfico de árbol, color rojo, estilo deportivo, posición centrado",rojo,deportivo,árbol,centrado
1310,"Diseño para camiseta: árbol en posición centrado, color gris, estilo visual deportivo",gris,deportivo,árbol,centrado
1311,"Quiero diseño de calavera en camiseta color gris, estilo vintage, ubicado en espalda",gris,vintage,calavera,espalda
1312,Camiseta de color blanco con motivo urbano de texto en la zona centrado,blanco,urbano,texto,centrado
1313,"Quiero estampado de montaña en zona centrado, color azul, estilo minimalista",azul,minimalista,montaña,centrado
1314,"Camiseta de color blanco, diseño de lobo, estilo minimalista, zona esquina",blanco,minimalista,lobo,esquina
1315,"Camiseta color gris, estilo urbano, con estampado de lobo en zona espalda",gris,urbano,lobo,espalda
1316,"Quiero una camiseta con diseño de guitarra en estilo vintage, color gris, posición centrado",gris,vintage,guitarra,centrado
1317,"Generar camiseta de estilo deportivo, color blanco, imagen de texto en zona esquina",blanco,deportivo,texto,esquina
1318,"Necesito una camiseta con gráfico de guitarra en zona esquina, color azul, estilo retro",azul,retro,guitarra,esquina
1319,"Generar camiseta de estilo deportivo, color azul, imagen de calavera en zona esquina",azul,deportivo,calavera,esquina
1320,"Quiero una camiseta con diseño de sol en estilo retro, color negro, posición espalda",negro,retro,sol,espalda
1321,Camiseta de color verde con motivo urbano de dragón en la zona espalda,verde,urbano,dragón,espalda
1322,"Diseño para camiseta: guitarra en posición espalda, color azul, estilo visual vintage",azul,vintage,guitarra,espalda
1323,"Quiero diseño de lobo en camiseta color verde, estilo deportivo, ubicado en esquina",verde,deportivo,lobo,esquina
1324,"Quiero estampado de texto en zona centrado, color azul, estilo minimalista",azul,minimalista,texto,centrado
1325,"Quiero diseño de montaña en camiseta color negro, estilo minimalista, ubicado en centrado",negro,minimalista,montaña,centrado
1326,"Camiseta de color blanco, diseño de automóvil, estilo retro, zona centrado",blanco,retro,automóvil,centrado
1327,"Diseño de camiseta: gráfico de sol, color negro, estilo minimalista, posición espalda",negro,minimalista,sol,espalda
1328,"Quiero diseño de dragón en camiseta color gris, estilo urbano, ubicado en esquina",gris,urbano,dragón,esquina
1329,"Quiero estampado de lobo en zona esquina, color gris, estilo vintage",gris,vintage,lobo,esquina
1330,"Camiseta color verde, estilo retro, con estampado de texto en zona pecho",verde,retro,texto,pecho
1331,"Diseño para camiseta: calavera en posición pecho, color blanco, estilo visual retro",blanco,retro,calavera,pecho
1332,"Camiseta de color negro, diseño de automóvil, estilo vintage, zona pecho",negro,vintage,automóvil,pecho
1333,"Camiseta con estampado de lobo, color principal gris, estilo visual vintage, zona pecho",gris,vintage,lobo,pecho
